PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,AVG_SPEED,DIST_MILES,AVG_SPEED_OFF,AVG_SPEED_DEF,STL,BLK,DRIVE_PTS,CATCH_SHOOT_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,SEASON_LABEL
203471,Dennis Schröder,ATL,48,622.0,4.61,4.35,1469,6,1,8,4.53,46.9,4.91,4.16,15,0,85,31,31,4,2013-14
965,Derek Fisher,OKC,81,1428.0,3.76,3.31,2156,53,6,17,4.02,95.5,4.37,3.69,70,3,36,217,125,8,2013-14
101114,Deron Williams,BKN,64,2059.0,5.09,4.79,4992,42,31,52,4.18,142.6,4.56,3.8,93,13,242,257,255,31,2013-14
202324,Derrick Favors,UTA,73,2201.0,1.63,0.42,4032,424,445,553,4.17,152.7,4.39,3.93,75,108,15,82,48,438,2013-14
201565,Derrick Rose,CHI,10,311.0,4.93,4.4,845,10,0,16,4.45,22.8,4.88,4.01,5,1,56,36,28,4,2013-14
202682,Derrick Williams,SAC,77,1799.0,2.18,0.98,2286,89,74,188,4.12,122.9,4.34,3.9,47,20,69,90,68,173,2013-14
2734,Devin Harris,DAL,40,818.0,5.18,5.19,2007,12,4,14,4.14,56.2,4.55,3.74,28,2,109,67,60,8,2013-14
203473,Dewayne Dedmon,ORL,31,390.0,1.44,0.27,578,34,22,95,4.37,28.4,4.69,4.03,7,22,4,10,4,61,2013-14
202354,Dexter Pittman,ATL,2,3.0,3.18,0.5,2,0,0,2,4.27,0.2,5.07,3.7,0,0,0,0,0,0,2013-14
203197,Diante Garrett,UTA,71,1048.0,4.7,4.78,2342,24,2,24,4.39,76.5,4.66,4.09,41,5,70,98,54,12,2013-14
203079,Dion Waiters,CLE,70,2072.0,3.77,3.24,3336,38,44,65,4.22,146.1,4.64,3.81,63,17,308,293,323,37,2013-14
