PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
101139,CJ Miles,2013-14,4.58,3.92,1.95,1.12,0.3322658126501201,0.1590361445783132,0.5831325301204819,0.2096385542168674,0.0481927710843373,0,0.8707578454480495
201171,Carl Landry,2013-14,4.21,3.93,1.83,0.43,0.1962616822429906,0.0,0.4444444444444444,0.0317460317460317,0.5238095238095238,4,0.9817633914004095
2430,Carlos Boozer,2013-14,3.87,3.61,1.64,0.45,0.2371884626155138,0.089728453364817,0.3659976387249115,0.0920897284533648,0.4521841794569067,4,0.9788657654906119
2546,Carmelo Anthony,2013-14,3.87,3.65,3.51,2.35,0.3231627906976744,0.1652274035693725,0.3626943005181347,0.3425446171560161,0.1295336787564766,7,0.8326651959245771
2406,Caron Butler,2013-14,4.0,3.71,2.02,0.85,0.2471131639722864,0.0579439252336448,0.6242990654205608,0.2635514018691589,0.0542056074766355,8,0.4519878538916489
201858,Cartier Martin,2013-14,4.68,4.05,1.94,1.14,0.2666051660516605,0.0761245674740484,0.629757785467128,0.1349480968858131,0.1591695501730103,5,0.5799249847147928
202718,Chandler Parsons,2013-14,4.75,3.95,2.49,1.48,0.2144627168281144,0.3434873949579832,0.4054621848739496,0.1218487394957983,0.1292016806722689,7,0.8758805333025951
101112,Channing Frye,2013-14,4.35,3.52,1.42,0.25,0.2053639846743295,0.0435323383084577,0.7350746268656716,0.0708955223880597,0.1504975124378109,5,0.947667846822084
201978,Chase Budinger,2013-14,4.51,3.82,1.56,0.67,0.2622169249106079,0.1545454545454545,0.6136363636363636,0.0954545454545454,0.1363636363636363,5,0.5869667328573903
1497,Chauncey Billups,2013-14,4.21,3.72,5.01,4.45,0.1130434782608695,0.1076923076923077,0.4769230769230769,0.4153846153846154,0.0,9,0.9606747957144435
2365,Chris Andersen,2013-14,4.13,4.14,1.33,0.19,0.2621359223300971,0.0185185185185185,0.0661375661375661,0.0052910052910052,0.91005291005291,2,0.9946426532864033
2547,Chris Bosh,2013-14,3.87,3.77,1.52,0.48,0.2802759325498211,0.1230628988149498,0.4439380127620784,0.0865998176845943,0.3463992707383774,4,0.8080305464528447
201604,Chris Douglas-Roberts,2013-14,4.46,4.05,2.42,1.3,0.2425695110258868,0.2490118577075099,0.5691699604743083,0.0830039525691699,0.0988142292490118,0,0.36874063338672425
