PLAYER_ID,PLAYER_NAME,SEASON_LABEL,GP,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,FG_PCT,FG3_PCT,FT_PCT,3P_RATE,FT_RATE,TS_PCT,AST_TOV
1628382,Justin Jackson,2018-19,81,19.950617283950617,7.197530864197531,2.617283950617284,1.1851851851851851,0.3950617283950617,0.1728395061728395,0.35802469135802467,1.2222222222222223,217,485,87,245,62,79,44,168,0.44742268041237115,0.3551020408163265,0.7848101265822784,0.5051546391752577,0.16288659793814433,0.006923898399451219,3.310344827586207
1628382,Justin Jackson,2019-20,65,16.107692307692307,5.538461538461538,2.3692307692307693,0.8,0.23076923076923078,0.15384615384615385,0.2153846153846154,1.0615384615384615,135,341,48,163,42,50,27,127,0.39589442815249265,0.294478527607362,0.84,0.4780058651026393,0.1466275659824047,0.007628734901462174,3.7142857142857144
1628382,Justin Jackson,2020-21,34,16.970588235294116,7.205882352941177,2.264705882352941,1.5294117647058822,0.4411764705882353,0.058823529411764705,0.9411764705882353,0.9411764705882353,89,221,36,117,31,37,16,61,0.40271493212669685,0.3076923076923077,0.8378378378378378,0.5294117647058824,0.167420814479638,0.01518434413549641,1.625
1628382,Justin Jackson,2022-23,23,4.695652173913044,0.8695652173913043,0.7391304347826086,0.391304347826087,0.17391304347826086,0.17391304347826086,0.08695652173913043,0.30434782608695654,7,27,5,20,1,2,2,15,0.25925925925925924,0.25,0.5,0.7407407407407407,0.07407407407407407,0.015594785103861268,4.5
1628383,Justin Patton,2020-21,13,18.923076923076923,5.384615384615385,3.769230769230769,1.0769230769230769,0.9230769230769231,1.0769230769230769,0.3076923076923077,2.6153846153846154,29,70,9,34,3,4,14,35,0.4142857142857143,0.2647058823529412,0.75,0.4857142857142857,0.05714285714285714,0.03751822313695223,3.4999999999999996
1628384,OG Anunoby,2017-18,74,20.013513513513512,5.918918918918919,2.4864864864864864,0.7432432432432432,0.7027027027027027,0.1891891891891892,0.6081081081081081,1.7567567567567568,163,346,73,197,39,62,44,140,0.47109826589595377,0.37055837563451777,0.6290322580645161,0.569364161849711,0.1791907514450867,0.00792825616014643,1.222222222222222
1628384,OG Anunoby,2018-19,67,20.26865671641791,7.0,2.9402985074626864,0.7014925373134329,0.6865671641791045,0.3283582089552239,0.8208955223880597,2.08955223880597,183,404,67,202,36,62,58,139,0.452970297029703,0.3316831683168317,0.5806451612903226,0.5,0.15346534653465346,0.00811537748098683,0.8545454545454545
1628384,OG Anunoby,2019-20,69,30.0,10.623188405797102,5.27536231884058,1.565217391304348,1.391304347826087,0.6521739130434783,1.144927536231884,2.420289855072464,286,566,89,228,72,102,80,284,0.5053003533568905,0.39035087719298245,0.7058823529411765,0.4028268551236749,0.18021201413427562,0.008694987891072798,1.3670886075949369
1628384,OG Anunoby,2020-21,43,33.372093023255815,15.86046511627907,5.511627906976744,2.186046511627907,1.5348837209302326,0.7441860465116279,1.744186046511628,2.6511627906976742,249,519,104,261,80,102,54,183,0.4797687861271676,0.39846743295019155,0.7843137254901961,0.5028901734104047,0.19653179190751446,0.014063688299176305,1.2533333333333332
1628384,OG Anunoby,2021-22,48,36.0,17.125,5.5,2.6041666666666665,1.4791666666666667,0.5208333333333334,1.6666666666666667,2.7291666666666665,309,697,115,317,89,118,74,190,0.4433285509325681,0.3627760252365931,0.7542372881355932,0.45480631276901007,0.16929698708751795,0.011433130374405812,1.5624999999999998
1628384,OG Anunoby,2022-23,67,35.64179104477612,16.776119402985074,4.955223880597015,1.955223880597015,1.9104477611940298,0.746268656716418,1.9701492537313432,2.985074626865672,421,885,142,367,140,167,95,237,0.47570621468926555,0.3869209809264305,0.8383233532934131,0.41468926553672314,0.18870056497175142,0.008751418601840975,0.9924242424242425
1628384,OG Anunoby,2023-24,50,34.1,14.66,4.16,2.14,1.36,0.72,1.62,2.38,282,577,102,267,67,89,47,161,0.48873483535528595,0.38202247191011235,0.7528089887640449,0.462738301559792,0.15424610051993068,0.011896260711503506,1.3209876543209877
